Url,Package_Title,Price,Reviews,Trip duration,Visit places,Mode of tours,Group Size,brief Desc,Itinerary,images
https://www.nepaltour.info/tours/honey-hunting-adventure/,Honey Hunting Adventure," 29,460.00",1 review,,,,," is one of the newly develop adventure tour in Nepal that form part of the ancient culture of numerous civilizations. Scientists have estimated through rock painting documentation that , was practiced as far back as 13,000 BC. In Nepal, , has been practiced for thousands of years and is a vital part of the Nepali culture.,The most popular , are located in Bhujung, Nai Chi, Pasgaon, Naya Gaun, Ludhi and Dare. All places are way to ,. Foreign Tourists will be amazed at the speed and courage of the honey hunters, who hang from the cliffs to earn a living, and marvel at the ancient techniques that are still in use today., is wonderful off the beaten path trek that gets you acquainted with the ancient profession of people of remote villages of Annapurna.,Note: If you are planning for documentary filming, short movies, photography adventure then we will organised ground transportation, helicopter charter & other logistic support during your honey hunting trip in Nepal., ","Day 01: Arrival in Kathmandu and transfer to hotel,
Day 02: Kathmandu city sightseeing and permit preparation day,
Day 03: 4WD Land Cruiser drive Kathmandu to Khudi and Trek to Ghale gaun,
Day 04: Trek Ghalegaun to Bhujung,
Day 05-06: 2 days Honey hunting adventure tour on the hunting point,
Day 07: Trek back Bhujung to Ghalegaun,
Day 08: Ghalegaun to Khudi and drive back to Kathmandu.,
Day 09: Final Departure",
https://www.nepaltour.info/tours/annapurna-helicopter-trek/,Annapurna Helicopter Trek," 3,456.00",1 review,11 Nights / 12 Days Annapurna Helicopter Trek,"Kathmandu, Pokhara, Ghorepani, Annapurna Base Camp",6 days trek to Annapurna Base Camp and Helicopter fly out to Pokhara.,03 to 06 persons.," is a popular 12 days , & tour package allows an explore the Pokhara, Ghorepani & Annapurna Base Camp Trek.,Firstly we trek from Pokhara to Annapurna Base Camp and then next day, is a good option for family travelers where we allows experiencing 5 star accommodations on Kathmandu & Pokhara and an explore to the ,.  The , is the kind of area where nature & its natural beauty is exemplified in its excellent landscapes, beautiful valleys & lush green hamlets that bring back some of the most nostalgic memories of home sweet home and this is why this area is just one of the most sought after trekking regions anywhere in the world,At , we’ve put 3 different helicopter option to the travelers where you can explore the different areas of Nepal. If you would like to hire a , then we have an option for single day helicopter tours. Please contact us., Minimum 2 persons are required to operate this trip. If you are single then the cost might be high","Day 01: Arrive Kathmandu and transfer to hotel (1350m).,
Upon your arrival in the Kathmandu airport, you will be greeted by Nepal Tours representative and transferred to hotel. After check in, you can either take a rest or hang around in the city depending on your interest and time constraint. In the evening, there will be a pre-trip discussion, introducing with your tour guide. You will have an opportunity to ask any questions related to your tour program.,
,Day 02: Fly Kathmandu to Pokhara and trek to Tikhedhunga,
Morning after breakfast at hotel and then fly to Pokhara, is spectacular with Himalayan view all along its route. You can enjoy the ambiance of Pokhara in the natural settings with towering Himalayas in the back drop. Pokhara then a drive of less than an hour to Nayapul. You start your trek here. In 15 minutes or so, you reach Birethanti, a large village featuring many shops and tea houses. The trail goes along the north bank of the Bhurungdi Khola, climbing steadily until Hille is reached. At the end of a short climb is Tikhedhunga where you stay for the night.,
,Day 03: Trek Tikhedhunga to Ghandruk (1940m) 5-6 hrs,
Day 04: Trek Ghandruk to Chhomrong (2170m) 4-5 hrs,
Day 05: Trek Chhomrong to Dovan (2580m) 5-6 hrs,
Day 06: Trek Dovan to Deurali (3230m) 4 hrs,
Day 07: Trek Deurali to Machhapuchhre Base Camp (3700m) 3-4 hrs,
Day 08: Trek MBC to Annapurna Base Camp (4130m) 2-3 hrs,
Day 09: Fly Charter helicopter from Annapurna Sanctuary to Pokhara (823m),
Day 10: Relax day at Pokhara City,
Day 11: Morning Fly to Kathmandu. Rest time for sightseeing & shopping,
Day 12: Fly to home",
https://www.nepaltour.info/tours/3-days-in-kathmandu-tour/,3 Days in Kathmandu," 1,400.00",2 reviews,02 Nights / 03 Days,"Kathmandu, Patan and Bhaktapur – 3 major cities in Kathmandu.",Private transportation + Kathmandu city tour,2 to 40 persons.," offer all the best and major attractions of Kathmandu Valley and its three cities: Kathmandu, Bhaktapur and Lalitpur. For centuries the Valley has been the bedrock of Nepal’s political, cultural and social transformations. As many as seven monuments have been listed in UNESCO World Heritage Sites for their cultural and historical significance. This ,will take you on an exploration of all these heritage sites and will get you up close and personal with the local communities.,However, what we highly recommend to our valued clients is, one day to three days package. This , takes you to the heart of all the three sister cities: Kathmandu, Bhaktapur and Patan comprising old Durbar Squares. all cities are renowned Buddhist Stupas, legendary Hindu shrine with open public crematorium, local medieval villages and nearby hill stations overlooking the Kathmandu valley., Kathmandu tour is one of the most popular sightseeing tour in Nepal. Kathmandu city is the capital city of Nepal and is considered as heart of Nepal. If you don’t have a , then you may take a , in a single day tour., ","
Our company representative will be on standby with our vehicle & a sign-board plaque displaying our your name & company’s name at the Airport to pick you up and transfer you to your Hotel. After you’ve freshen up, a senior executive from the office will give you a short briefing about your whole program. Get familiar with your surroundings, rest or take a short stroll down the road. Your first overnight at your hotel in the valley of the gods.,
,
,After breakfast, we proceed for a Full Day Kathmandu sightseeing where you will visit Pashupatinath temple, Boudhanath Stupa, Swayambhunath Stupa (monkey temple), Patan Durbar Square and Kathmandu Durbar Square. Some of these ancient monuments are UNESCO declared World Heritage sites & stand to display the rich history of this ancient valley that was once a kingdom to itself & a centre where kings met on a certain day to go to war with one another on the next day. Kathmandu is a wonderful mix of different cultures & ancient traditions that are still practiced till this day. Overnight stay at Hotel,
,
This has been a short holiday in Kathmandu valley, but we are sure that you have enjoyed a wonderful vacation with lasting memories for a long time to come. After you’ve had breakfast, our office escorts & our vehicle will be on standby at your hotel to transfer you to the Airport for your flight back home. We look forward to meeting you again in this amazing country of Nepal.",
https://www.nepaltour.info/tours/everest-base-camp-heli-down-trek/,Everest Base Camp Heli Down Trek," 4,000.00",2 reviews,08 Days Everest Base Camp Trek and Fly out helicopter from Lobuche,10 Nights / 11 Days.,"Kathmandu, Lukla, Namche, Everest Base Camp, Kalapattar.",KTM – LUK – KTM Flights + Heli down Lobuche to Kathmandu,"Some trekkers do not have the time or the physical capacity to trek to and from the Everest Base Camp. Since it is a challenging trek, some people prefer to take a ,. Everest Base Camp Helicopter Trek provides this option to trekkers who prefer to plan their trip this way. We will be trekking through small trading villages and past ancient Tengboche monasteries as we journey towards the ,. When we reach , we will also include a ,with its legendary views of Mount Everest itself. Afterwards we will trek down to periche and board our ,and head down the Khumbu on what is surely one of the most , on the planet. If you are short on time but still need the adventure of reaching Everest Base Camp, then our , is perfect for you., is one of the most sought after activities. It is the dream of every adventure enthusiasts to set foot in the land of highest mountain in the world at least once in their lifetime. This is the luxurious helicopter tour to Everest that enables you to explore Everest in far less time in comparison to classical ,. This is definitely a dream destination for thrill seekers and adventure lovers. However, not everyone has the time to finish the entire trek. The , is a 11 day tour that allows you to experience the whole trek going to the Everest Base Camp, but return on helicopter., ","
When you arrive at the airport, Nepal Tours representative will be there to pick you up and bring you to the hotel. Depending on when you arrive, you’ll go through an orientation on the Evening.,
,
After landing in Lukla’s tiny airport, embark on a gentle, 3 hour hike to Phakding. The mainly downhill trek leads you through colourful and fragrant forests of pine, magnolia and rhododendron, past several small Buddhist settlements with their pearl white stupas, ornate prayer wheels, piles of mani stones and colourful flags flapping in the breeze. Soak up the intoxicating beauty of the valley as you cross the swirling ice-water of the Dudh Kosi or ‘Milk River’ by suspension bridge, before arriving in the small village Phakding, where you lodge tonight.,
,
,
After leaving Phakding, we will cross the same river several times over high suspension bridges. It helps to avoid thinking about Indiana Jones movies here! Soon, we’ll pass Monjo and enter the Sagarmatha National Park. Once inside the Park the trail becomes steep, rising to Namche. Namche Bazaar is the chief trading village for the region, and an excellent place to find a few last Western luxuries, including Illy coffee and some amazing brownies! Better still, on a clear day you can see Everest itself from here.,
,
,
,
Today we take a day off from our journey to become acclimatised and further explore Namche Bazaar and the surrounding area. With its collection of artefacts, photos and archives chronicling Sherpa Everest climbing expeditions, a trip to the Sherwi Khangba Centre provides a fascinating insight into the history of the Sherpa culture in the Everest region. The ,, located within the Centre, features an ever expanding selection of books, magazines and videos dedicated to every aspect of Nepalese mountain life from flora and fauna to agricultural techniques. , Headquarters offers an interesting display of photos, memorabilia and information about the park and the spectacular views of the snow-swept ridges of Ama Dablam, Kwangde, Thamserku and Kangtega are not to be missed.,
,
We’ll continue to follow the valley above the Dudh Koshi, and be treated to amazing views of Everest, as well as Lhotse, Nuptse and Ama Dablam along the way. We’ll cross another high bridge at the village of Phunki Tenga, where we will stop for lunch. After a brief rest, we have a steep climb to Tengboche, the site of the largest gompa (Buddhist monastery) in the region.,
,
Day six takes us back down into the forest, and across the Imja Khola. Once across, we’ll climb up to Pangboche village and more stunning views of what seems like the entire Himalaya. We’ll continue upwards to the HRA’s first aid post at Pheriche, and be able to attend a lecture on avoiding altitude sickness (which we really do advise you to attend).,
,
In order to help with your acclimatisation and prepare you for the higher portions of the trek, we will arrange an excursion to see Tshola Lake and the Tawache and Cholatse Walls. The short trek will take us up the ridge over Dingboche, where we’ll be able to see the Imja Valley spread beneath us, and the south face of Lhotse in the distance.,
,
Today we begin the main trek again, climbing the steep Khumbu Glacier with Tawache and Cholatse peaks overhead. The boulder-strewn terminal moraine makes interesting and rugged terrain, and the top of the glacier is marked with numerous cairns, left to mark the passage of the Sherpas and climbers who have died conquering Everest. At the glacier’s top, the path levels out to a very gentle climb to Lobuche.,
,
The trail now leads along the Khumbu Glacier, providing excellent vistas of the Himalayan peaks nearby. Lunch is at Gorak Shep, and then we are back on the trail for a few hours until we reach Everest Base Camp. We will pass lesser glaciers, ice pinnacles, and the sometimes dangerous crevasses of the Khumbu along the way. The return trip to Gorak Shep is made along a higher path overlooking the Khumbu icefall and the South Col route.,
,
Today, a private helicopter will transport you back to Kathmandu, bringing your Everest adventure to a spectacular close. Enjoy free time in Kathmandu for the rest of the day, perhaps heading to the beautiful Garden of Dreams to unwind among tranquil lily ponds and verdant lawns, or venturing to iconic hippy destination Freak Street to browse the many art, trinket and book shops.,
,
It’s your last day in Nepal! Grab some breakfast, and then take in some last-minute shopping in Kathmandu. We’ll make sure you arrive at Kathmandu International Airport with plenty time before your flight home. At this time, we’ll say our goodbyes and bid you farewell, armed with warm memories and gorgeous photos to show your loved ones.",
https://www.nepaltour.info/tours/kathmandu-itinerary-4-days/,Kathmandu Itinerary 4 Days, 790.00,1 review,,,,," is a suitable for all families and who has a limited time in Kathmandu this is one of the most popular trips around Kathmandu like (, ) in Nepal, this route to Nagarkot is ideal for beginners of all ages. You’ll make your way through oak, pine, and rhododendron forests and learn about village life while taking in views of the , and snow-capped Himalayan peaks in Nagarkot. Wake up to a sunrise view over Mount Everest before enjoying more time in Kathmandu., is an excellent choice for those planning to be in close with nature with a fresh mountain air inside a pine forests and villages before reaching the hill station of dhulikhel. It is a good 16 km walk with an altitude drop of more than 800 meters and will take around good 5 hours to complete this trekking with ever changing landscapes. It is a panoramic trail in the valley rim with an altitudinal drop of 600 meters from Nagarkot (2100m) to Dhulikhel (1500m) above sea level. You will enjoy the stunning views of the eastern and central himalayas","Day 01: Arrival in Kathmandu and Bhaktapur Sightseeing and driver to Nagarkot.,
Day 02: 4:30 hours hike to Dhulikhel and Drive to Balthali. Overnight at Balthali,
Day 03: Hike to Namo Buddha and drive back to Kathmandu. Overnight at Kathmandu,
Day 04: Short sightseeing tour in Kathmandu and final departure.",
https://www.nepaltour.info/tours/everest-base-camp-helicopter-tour/,Everest Base Camp Helicopter Tour," 2,250.00",3 reviews,2 Seats,2 Seats,3 Seats,Full,"The ,, is an unique luxury and excited tours in Nepal where you are taken to see and real feel of Mt. Everest, gives you a quick look of Everest region finally allowing you to land on Everest Base Camp or Kalapathar. This , is not so far the best Ariel view tour in the world. Take the Mt.Everest helicopter trip of a lifetime and see some of the most amazing sights in the Everest region from the air! , make ideal gifts for birthdays, anniversaries, special one, mother’s day, father’s day, Christmas, or simply as a special treat for any occasion.,starts from Kathmandu domestic airport, flying east from Kathmandu towards the beautiful Sherpa village (Lukla) “,“. After fueling in Lukla, the flight starts flying towards Everest Base Camp/Kalapathar. The flight goes over the Tengboche, Dingboche, Gorakshep and Khumbu glacier to reach the Base camp of Mount Everest.,This ultimate , gives you some of the best mountain views and sceneries. You will be given maximum of 5 minutes of landing time at base camp due to the altitude threat. And on the way back, you will be given 20 minutes at Syangboche (Hotel Everest view) to take tea/coffee. Syangboche has excellent views of Mt. Everest and its range. Further, you will fly back to Lukla for fueling and then to Kathmandu to end your lifetime Experience of Everest tour by helicopter.,A , takes about 16 days, however, this , cuts off all these days and you can get to the base camp and be back in Kathmandu in just one day., ","The private Everest Base Camp Helicopter Ride takes you from the Nepal, Kathmandu Tribhuvan International Airport towards the east, flying parallel to the Himalayan range. After flying 40 minutes, you will land in Lukla Airport for Fueling then fly to Syangboche Everest View hotel . The point from where a spectacular view of the Mt. Everest can be seen. After having breakfast you will start our tour to Everest Himalaya Range. You will be able to closely view the Mt. Everest (the tallest peak of the world), Mt Pumori, Amadblama, Nuptse, Lotse, etc. After enjoying magnificent views of Himalaya, you will then turn back to Kathmandu. Our Tour Riding Helicopter to Everest Base camp will be 3-4 hours. After landing at Kathmandu airport, you will be transferred to your hotel.,Departure from Tribhuvan International Airport ( TIA ) fly into The Himalayas including Everest base camp/ closest view of Mt. Everest(8848m)  landed at Kalapathar capture picture. It is better not to take long time there because of high altitude",
https://www.nepaltour.info/tours/nepal-buddhist-tour/,Nepal Buddhist Tour, 930.00,1 review,,,,," let you eyewitnesses the religious tolerance and harmony found in Nepal, which is perhaps a unique example to the world. Nepal Tours has prepare ,of 07 nights/ 08 days. This , cover the major Buddhist places in Nepal and some of  the interesting and religious places.,In Nepal, where religion is not just a set of beliefs and accompanying rituals handed down from generation to generation; rather it is a complex intermingling of traditions, festivals, faiths and doctrines that have permeated every strata of Nepalese Society in such a way as to become the very heartbeat of the nation. Nepal is famous, as the world’s only Hindu Kingdom. However, it is an intricate and beautiful tapestry formed by the interweaving of Hinduism, Buddhism and other beliefs.","
After your arrival at the airport of Kathmandu, you will find our guide and driver waiting for you at the exit holding a sign with your name on it. A brief introduction will be presented to you on the way to the hotel. Enjoy a welcome drink and spend the rest of day at the hotel or stroll around for some fun.,
,
Kopan Monastery was founded by Lama Yeshe and Lama Zopa Rimpoche in 1970 as a center of Buddhist Teachings. Meet Senior Lama and orientation on Buddhism at Kopan Monastery. Lunch will be served (vegetarian). Evening return back to Hotel. O/N Hotel.,
Buddhists call it “Tamangligi”, the famous Buddhist spot, where Lord Buddha (on 7th re-incarnation) sacrificed his body to hungry Tigress and its cubs. Evening return to hotel. O/N Hotel.,
The Buddhist history says, Milerapa from Tibet took one night shelter in the cave, and accordingly blessed this monastery. Hindus have their version that it was Pancha Pandav who had visited this place. Vegetarian lunch will be served then we back swayambhunath Temple     for buddhist sightseeing tour, the oldest Buddhist Stupa in Nepal in  Evening return to hotel. O/N Hotel.,
Upon arrival Lumbini, we transfer you to the hotel, check-in and then we go walking through the Sacred Lumbini Garden where the Buddha was born converges on the Ashoka pillar, visit the Maya Devi Temple with its bas-relief sculpture depicting Maya Devi holding on with her right hand to a branch of pipal tree and giving birth to the infant Buddha who stand up on a lotus pedestal.,
After breakfast, we begin the trip by driving away, 27km west of Lumbini; visit the important archaeological site, Tilaurkot, the ancient palace of King Suddodha (Siddhartha Gautam’s father), where the Buddha spent his formative years as a Shakya Prince. Allow yourself for a moment to wander around and soak the atmosphere. There’s a museum nearby, The Kapilvastu Museum; the pottery, jewelry and ornaments are gathered in-house. End up the remarkable tour in Tilaurkot by visiting the shrines, monasteries and stupa near the sacred garden.,
After breakfast, we moved to Bhairahawa to get our flight in Kathmandu. nepaltour.info recommended you should take a flight for Kathmandu – Bhairahawa – Kathmandu because by road sometime a strike by the people. Check-in at hotel, rest of the day is at your own leisure.,
After breakfast, rest of day is at leisure until we pick you up at the hotel and then transfer to airport for your next stop.",
https://www.nepaltour.info/tours/kathmandu-pokhara-chitwan-tour/,Kathmandu Pokhara Chitwan Tour," 2,250.00",2 reviews,,,,,"Nepal beautiful tour package includes the exceptional major cities of Kathmandu, Pokhara and Chitwan for an experience which will completely change your life perspective. , is ideal program designed for travelers who wish to asertain the magnificent beauty of wildlife, culture and landscapes of Himalayan country Nepal.  This , package visit the historically important and culturally rich capital city of Nepal Kathmandu, The most beautiful city of world by the nature; Pokhara and wildlife place Chitwan. Kathmandu is the city of temples and monasteries.","
After your arrival at the airport of Kathmandu, you will find our guide and driver waiting for you at the exit holding a sign with your name on it. A brief introduction will be presented to you on the way to the hotel. Enjoy a welcome drink and spend the rest of day at the hotel or stroll around for some fun.,
Meals: No meals included today,
Kathmandu is the capital of Nepal surrounded by mountain with a pleasant climate. This morning, we will drive five kilometers to visit the Pashupatinath temple, the largest Hindu temple and the most famous Shiva shrine of Nepal. All the palaces in the temple are forbidden to be entered except for Hindus. Next, you will visit the following sightseeing spots: Boudhanath stupa, a place for daily worship of Buddhist; Swoyambhunath Monkey Temple, where you can get a perspective of the whole city from the top point and the Himalayan ranges. The afternoon schedule will be the Patan Durbar Square, Bhaktapur Durbar Square, Nyatapole temple and Krishna temple.,
Meals: Breakfast,
Today your journey will be extended to Pokhara, one of the most popular tourist destinations 200 kilometers away from Kathmandu. En route, you will take a cable car to visit the Manakamana temple. Check into a local hotel upon arrival in Pokhara. Then take a leisurely walk along the lake and enjoy the stunning mountain sceneries around.,
Meals: Breakfast,
Early morning, we will transfer to Sarangkot to witness the magnificent Sunrise view over the Himalayas. Then start Pokhara city tour with a visit to Bindabasini temple, which is one of the most ancient temples as well as the most famous temple in Pokhara. Then explore the Seti George, Mahadev cave and Devi’s fall. At last, come to the Fhewa Lake and take a boat to appreciate the reflection of the snow mountain if you are interested.,
Meals: Breakfast,
Today you will leave Pokhara for Chitwan and lodge in a jungle resort. A welcome drink will be offered on your arrival. Then enjoy a palatable meal around noon and take a good rest to get ready for the upcoming jungle adventure.,
Meals: Breakfast, Lunch, Dinner,
Established in 1962, Chitwan National Park is the first national park and the largest safari park of Nepal. It used to be a royal garden and opened to the public aiming to protect the endangered one-horned rhinoceroses originally. In 1984, the park was included in the List of World Heritage as natural heritage by UNESCO. There are several interesting recreational activities including elephant riding, canoe drifting and jungle safari, which will offer you an opportunity to spot the rare Bengal tigers, wild elephant, rhinoceros, crocodiles and other wildlife. The local guide or mahout will give you some information during journey and help you to locate the animals in the park. Next you will come to the Elephant Breeding Center to see the baby elephants. After a short break at the lodge, you will round up your jungle expedition with a visit to the Tharu village where you may enjoy a local dance performance called “Tharu Tribal Dance”.,
Meals: Breakfast, Lunch, Dinner,
Wake up early and get a fresh morning with a cup of tea. We will drive 5 hours to transfer back to Kathmandu and check in the hotel. The rest of the day is free for your own arrangement.,
Meals: Breakfast, Lunch & Dinner,
A comfortable private transfer to the airport is provided for you today. Our guide will see you off and help you to board your onward flight.,
Meals: Breakfast",
https://www.nepaltour.info/tours/heli-sightseeing-pokhara/,Heli Sightseeing Pokhara, 140.00,1 review,,,,,"Nepal Tours is excited to introduce our newest ,, Nepal. ,Our , offers a scenic air sightseeing around the Pokhara. While flying to , you will fly over the many lakes like Begnas Lake, Rupa Lake and last but not least to Phewa Lake. After enjoying the tranquil gorgeousness of Pokhara city, gigantic mountains and crystal clear lakes.,are different as per your taken time so we provide your a 15min helicopter ride, 30min helicopter ride and 1 hours helicopter ride. If you need a more hours then why not visit to , ",Heli Sightseeing Pokhara,
https://www.nepaltour.info/tours/annapurna-luxury-lodge-trek/,Annapurna Luxury Lodge Trek," 1,150.00",1 review,09 Nights / 10 Days,"Kathmandu, Pokhara, ",Private transportation + 5 days trek from Pokhara + 45min Mountain flight,2 to 8 persons.,"On this Private Journey to ,, experience this extraordinary Himalayan beauty on a delightful lodge-based trek under the gaze of mighty Annapurna, Dhaulagiri, and Machapuchare and This is an ideal introduction to trekking in Nepal while staying at high quality Ker and Downey lodges in the Annapurna region.,Trekking in Nepal has always been associated with sleeping in small tents on hard beds or mats, washing in cold water, sharing communal toilets and living fairly basically. Located in the Annapurna Mountains, the Ker and Downey Lodges offer the perfect opportunity to experience trekking in the Himalaya in luxury and comfort. With hot showers, comfortable beds and great food, these lodges are the best on offer whilst trekking,The Annapurna Luxury Lodge Trek is one of the newest and best of family walking treks in the Annapurna area. A short , in the foothills of the Annapurna Himalaya, with luxury lodge accommodation and both Kathmandu and Bhaktapur sightseeing. The trail between lodges takes you through beautiful Nepalese villages with spectacular views of the Annapurna region. This trek is a relatively gentle walk designed for the first time trekker in the low-lying hills fringing Pokhara. It is a culturally rich journey through Gurung villages with an ever increasing build-up of mountain views. We trek for six days through the Annapurna foothills with about five hours walking each day. Using a series of luxury lodges we offer a much higher standard of comfort than is normally available while trekking. Each lodge has twin rooms, attached bathrooms, hot running water, a dining room, gardens and stunning views.","
Our company representative will be on standby with our vehicle & a sign-board plaque displaying our your name & company’s name at the Airport to pick you up and transfer you to your Hotel. After you’ve freshen up, a senior executive from the office will give you a short briefing about your whole program. Get familiar with your surroundings, rest or take a short stroll down the road. Your first overnight at your hotel in the valley of the gods.,
,
After an optional early morning flight to Mount Everest, we fly to Pokhara (3300 ft /1000 m). We’ll have a briefing at the Ker & Downey head office before we transfer by road with guides & porters to our trek start point {1-hour}. Our walk will follow a ridgeline in the lower foothills of the Annapurnas with surrounding views of the Pokhara Valley. This route then drops to the Modi River Valley, where Ker & Downey’s Sanctuary Lodge is located. The lodge has magnificent views of the sacred and unclimbed Fishtail Mountain, or Machhapuchhre, as it is locally known. A picnic lunch is provided with a late afternoon arrival at the Lodge.,
,
After breakfast, we leave the lodge walking out through the outlying farms following the Modi River Valley. Soon we begin to climb out of the valley & up towards the mountains. The trail passes through small hamlets, terraced rice fields and forests with spectacular views of the surrounding valley. Snacks are provided along the trail. Hot lunch is served on arrival at the lodge in the early afternoon. (Trek time 5-6 hours). It is from this lodge that there are magnificent close up views of the surrounding mountains.,
,
We wake up this morning with tea and coffee served in the garden and watch the sunrise over Annapurna South, Annapurna 1, Hiunchuli, Gangapurna, and the Fishtail. After enjoying a relaxing breakfast and the glorious views from the Himalaya Lodge, our guide will take us on an exploration of this mountain village and the surrounding countryside. Ghandruk was once a major recruitment centre for the famous Gurkha soldiers. The women of Ghandruk maintain a local industry of weaving traditional Nepalese rugs.,
,
After enjoying a relaxing breakfast and the glorious views from the Himalaya Lodge, we start our trek to to Lhandruk. After leaving the village of Ghandruk, the trail descends steeply to the banks of the Modi River. Here, you’ll be at the base of the cliffs where the famed honey hunters of Nepal climb on ropes to collect the honey. You’ll then cross a strong suspension bridge to the opposite banks of the Modi. From here is it about a hour’s trek up switch backs and steps to reach the village of Lhandruk. Lhandruk affords more glorious views of the Annapurna range. Trek time about 4 hours. Arrive in time for lunch. Your guide will take you on a exploration hike of this mountain village after lunch.,
,
After breakfast, we leave the Bee Lodge & trek to Ker & Downey’s Gurung Lodge. Todays trek contours the side of the hill, with small ups and downs, passing through villages and farmland. Trek time to the Lodge is about 4 hours. You’ll reach the Gurung Lodge in time for lunch with optional afternoon hikes to the surrounding villages.,
,
This morning we start out trekking through the unspoiled village of Patlekhet. Our walk takes us through sub-tropical forests that include tree orchids, rhododendrons and magnolias. Along the way, we will stop at the village of Pothana where many Tibetan traders live and sell their souvenirs. After about 3 ½ hours, we arrive at the Basanta Lodge. From the lodge, there are sweeping views of the entire Annapurna Range. After lunch at the lodge there will be an optional walk through the old village of Dhampus.,
,
After breakfast, we depart along the ridge & descend through the wooded hillside and terraced farmland to the valley floor. Trek time 1 ½ hours. We then transfer by vehicle to the Fishtail Lodge in Pokhara (30 minutes). On the way back to Pokhara, the vehicle can stop on request at the Tibetan refugee camp where you will have time to explore the temple complex. We’ll arrive at the centrally located Fishtail Lodge in time for lunch. The rooms at the Fishtail Lodge are filled with ethnic touches. Surrounding the rooms are landscaped gardens, water features, a swimming pool and stunning views of the surrounding mountains. You’ll have a chance to enjoy lunch and dinner at local restaurants. The afternoon is free to explore the lakeside where most of Nepal’s Tibetan curio shops are located.,
,
After breakfast we fly back to Kathmandu. Upon arrival, we’ll visit Durbar Square. Kathmandu’s Durbar Square was where the city’s kings were once crowned and legitimized, and from where they ruled (Durbar means ‘palace’). As such, the square remains the traditional heart of the old town and Kathmandu’s most spectacular legacy of traditional architecture. We’ll then have lunch in a local restaurant, before visiting Boudhanath, the largest Buddhist Stupa in Nepal. From here, we’ll return to the hotel, where the rest of the day is free.,
,
This has been a short holiday in Kathmandu valley, but we are sure that you have enjoyed a wonderful vacation with lasting memories for a long time to come. After you’ve had breakfast, our office escorts & our vehicle will be on standby at your hotel to transfer you to the Airport for your flight back home. We look forward to meeting you again in this amazing country of Nepal.,
",
