Url,Package_Title,Price,Duration,Reviews,Rating,Highlights,Itinerary
https://www.nepaltour.info/tours/nepal-itinerary-5-days/,Nepal Itinerary 5 Days,$680.00,04 Nights / 05 Days,2 reviews,5.00 based on 2 reviews,"Guided city tours in Kathmandu and Pokhara.,Visit UNESCO World Heritage Sites.,1 hour Boating in Phewa Lake.,Scenic domestic flights Kathmandu – Pokhara – Kathmandu.,Panoramic views of Himalayan peaks from Sarangkot.,Beautiful Himalayan sunrise from Sarangkot.","Day 01: Arrival in Kathmandu (1310m). Transfer to Hotel.Upon your arrival in the Kathmandu airport, you will be greeted by Nepal Tours representative and transferred to hotel. After check in, you can either take a rest or hang around in the city depending on your interest and time constraint. In the evening, there will be a pre-trip discussion, introducing with your tour guide. You will have an opportunity to ask any questions related to your tour program.Hotel – Included.,Day 02: Kathmandu Sightseeing and Fly to Pokhara.After breakfast, your guide will meet you in the hotel lobby for your city sightseeing in Kathmandu. We will visit Pashupatinath, Boudhanath, In the afternoon, Flight to Pokhara is spectacular with Himalayan view all along its route. You can enjoy the ambiance of Pokhara in the natural settings with towering Himalayas in the back drop. Visit Devi’s Fall and Tibetan Refugee Camp. Explore phewa lake boating in the evening to catch the reflection of Himalayas on the Phewa Lake.Tour time: 3 hours | Flight: 25min to Pokhara | Hotel and; Breakfast – Included.,Day 03: Drive Sarangkot for sunrise views and Free day for Pokhara tour.Pokhara is famous for its lake and its amazing views of the Annapurna range include Annapurna I and VI, Annapurna South and Machhapuchhre. Early morning drive around 30 minute to reach Sarangkot from there, you can see the very panoramic view of the mountain, truly a photographers paradise. In Pokhara, you will visit, the Gurung Museum, Devis falls, Tibetan refugee camps, Mahendra Cavé and Barahi Temple etc.Tour time: 4 hours | Drive: 25min to Sarangkot | Hotel and; Breakfast – Included.,Day 04: Fly Pokhara to Kathmandu (1310m)After breakfast, we will drive to the Pokhara Airport and fly back to Kathmandu. After checking in Hotel. You will have free time in the afternoon, and in the evening; nepaltour.info will treat you to a farewell dinner in a traditional Nepalese restaurant whilst enjoying a cultural dance.Flight: 25min to Kathmandu | Hotel, Breakfast, Dinner – Included.,Day 05: Final DepartureThe trip ends, Nepal Tours Representative will drop you to the Kathmandu international airport for your flight departure from Nepal.Breakfast – Included."
https://www.nepaltour.info/tours/annapurna-helicopter-trek/,Annapurna Helicopter Trek,"$1,560.00",11 Nights / 12 Days Annapurna Helicopter Trek,1 review,5.00 based on 1 review,,"Day 01: Arrive Kathmandu and transfer to hotel (1350m).Upon your arrival in the Kathmandu airport, you will be greeted by Nepal Tours representative and transferred to hotel. After check in, you can either take a rest or hang around in the city depending on your interest and time constraint. In the evening, there will be a pre-trip discussion, introducing with your tour guide. You will have an opportunity to ask any questions related to your tour program.Hotel – Included.,Day 02: Fly Kathmandu to Pokhara and trek to Tikhedhunga(1540m)Morning after breakfast at hotel and then fly to Pokhara, is spectacular with Himalayan view all along its route. You can enjoy the ambiance of Pokhara in the natural settings with towering Himalayas in the back drop.Pokhara then a drive of less than an hour to Nayapul. You start your trek here. In 15 minutes or so, you reach Birethanti, a large village featuring many shops and tea houses. The trail goes along the north bank of the Bhurungdi Khola, climbing steadily until Hille is reached. At the end of a short climb is Tikhedhunga where you stay for the night.Flight: 25min to Pokhara | Drive: 45min, Trek: 3-4 hours, | Hotel, Breakfast, Lunch and; Dinner – Included,Day 03: Trek Tikhedhunga to Ghandruk (1940m) 5-6 hrsDay 04: Trek Ghandruk to Chhomrong (2170m) 4-5 hrsDay 05: Trek Chhomrong to Dovan (2580m) 5-6 hrsDay 06: Trek Dovan to Deurali (3230m) 4 hrsDay 07: Trek Deurali to Machhapuchhre Base Camp (3700m) 3-4 hrsDay 08: Trek MBC to Annapurna Base Camp (4130m) 2-3 hrsDay 09: Fly Charter helicopter from Annapurna Sanctuary to Pokhara (823m)Day 10: Relax day at Pokhara CityDay 11: Morning Fly to Kathmandu. Rest time for sightseeing and; shoppingDay 12: Fly to home"
https://www.nepaltour.info/tours/honey-hunting-adventure/,Honey Hunting Adventure,$600.00,,1 review,5.00 based on 1 review,,Day 01: Arrival in Kathmandu and transfer to hotelDay 02: Kathmandu city sightseeing and permit preparation dayDay 03: 4WD Land Cruiser drive Kathmandu to Khudi and Trek to Ghale gaunDay 04: Trek Ghalegaun to BhujungDay 05-06: 2 days Honey hunting adventure tour on the hunting pointDay 07: Trek back Bhujung to GhalegaunDay 08: Ghalegaun to Khudi and drive back to Kathmandu.Day 09: Final Departure
https://www.nepaltour.info/tours/everest-base-camp-heli-down-trek/,Everest Base Camp Heli Down Trek,"$2,880.00",08 Days Everest Base Camp Trek and Fly out helicopter from Lobuche,2 reviews,5.00 based on 2 reviews,,"Day 01: Arrival in Kathmandu and getting settledWhen you arrive at the airport, Nepal Tours representative will be there to pick you up and bring you to the hotel. Depending on when you arrive, you’ll go through an orientation on the Evening.5* Accommodation Included ,Day 02: Flight from Kathmandu to Lukla, trek to PhakdingAfter landing in Lukla’s tiny airport, embark on a gentle, 3 hour hike to Phakding. The mainly downhill trek leads you through colourful and fragrant forests of pine, magnolia and rhododendron, past several small Buddhist settlements with their pearl white stupas, ornate prayer wheels, piles of mani stones and colourful flags flapping in the breeze. Soak up the intoxicating beauty of the valley as you cross the swirling ice-water of the Dudh Kosi or ‘Milk River’ by suspension bridge, before arriving in the small village Phakding, where you lodge tonight.Elevation: From 1300 metres to 2800 metres to 2656 metres |Lukla Flight, Accommodation, Guide and Porters Included ,Day 03: Trek From Phakding to Namche BazaarAfter leaving Phakding, we will cross the same river several times over high suspension bridges. It helps to avoid thinking about Indiana Jones movies here! Soon, we’ll pass Monjo and enter the Sagarmatha National Park. Once inside the Park the trail becomes steep, rising to Namche. Namche Bazaar is the chief trading village for the region, and an excellent place to find a few last Western luxuries, including Illy coffee and some amazing brownies! Better still, on a clear day you can see Everest itself from here.Elevation: From 2656 metres to 3450 metres.Accommodation, Guide and Porters IncludedDay 04: Acclimatization Day at Namche BazaarToday we take a day off from our journey to become acclimatised and further explore Namche Bazaar and the surrounding area. With its collection of artefacts, photos and archives chronicling Sherpa Everest climbing expeditions, a trip to the Sherwi Khangba Centre provides a fascinating insight into the history of the Sherpa culture in the Everest region. The Khumbu International Library, located within the Centre, features an ever expanding selection of books, magazines and videos dedicated to every aspect of Nepalese mountain life from flora and fauna to agricultural techniques. Sagarmatha National Park Headquarters offers an interesting display of photos, memorabilia and information about the park and the spectacular views of the snow-swept ridges of Ama Dablam, Kwangde, Thamserku and Kangtega are not to be missed.Elevation: 3450 metres | Highest point: 3880 metresAccommodation, Guide and Porters Included ,Day 05: From Namche Bazaar to TengbocheWe’ll continue to follow the valley above the Dudh Koshi, and be treated to amazing views of Everest, as well as Lhotse, Nuptse and Ama Dablam along the way. We’ll cross another high bridge at the village of Phunki Tenga, where we will stop for lunch. After a brief rest, we have a steep climb to Tengboche, the site of the largest gompa (Buddhist monastery) in the region.Elevation: From 3450 metres to 3867Accommodation, Guide and Porters Included ,Day 06: From Tengboche to PhericheDay six takes us back down into the forest, and across the Imja Khola. Once across, we’ll climb up to Pangboche village and more stunning views of what seems like the entire Himalaya. We’ll continue upwards to the HRA’s first aid post at Pheriche, and be able to attend a lecture on avoiding altitude sickness (which we really do advise you to attend).Elevation: From 3867 metres to 4252 metresAccommodation, Guide and Porters Included ,Day 07: Acclimatisation Day at PhericheIn order to help with your acclimatisation and prepare you for the higher portions of the trek, we will arrange an excursion to see Tshola Lake and the Tawache and Cholatse Walls. The short trek will take us up the ridge over Dingboche, where we’ll be able to see the Imja Valley spread beneath us, and the south face of Lhotse in the distance.Elevation: 4252 metresAccommodation, Guide and Porters Included ,Day 08: From Pheriche to LobucheToday we begin the main trek again, climbing the steep Khumbu Glacier with Tawache and Cholatse peaks overhead. The boulder-strewn terminal moraine makes interesting and rugged terrain, and the top of the glacier is marked with numerous cairns, left to mark the passage of the Sherpas and climbers who have died conquering Everest. At the glacier’s top, the path levels out to a very gentle climb to Lobuche.Elevation: From 4252 metres to 4930 metres.Accommodation, Guide and Porters Included ,Day 09: From Lobuche to Everest Base Camp, descent to Gorak ShepThe trail now leads along the Khumbu Glacier, providing excellent vistas of the Himalayan peaks nearby. Lunch is at Gorak Shep, and then we are back on the trail for a few hours until we reach Everest Base Camp. We will pass lesser glaciers, ice pinnacles, and the sometimes dangerous crevasses of the Khumbu along the way. The return trip to Gorak Shep is made along a higher path overlooking the Khumbu icefall and the South Col route.Elevation: From 4930 metres to 5164 metres | Highest point: 5364 metres (Everest Base Camp)Accommodation, Guide and Porters Included ,Day 10: Early morning sunrise tour to Kala Patthar, return to Lobuche. fly out helicopter ride to KathmanduToday, a private helicopter will transport you back to Kathmandu, bringing your Everest adventure to a spectacular close. Enjoy free time in Kathmandu for the rest of the day, perhaps heading to the beautiful Garden of Dreams to unwind among tranquil lily ponds and verdant lawns, or venturing to iconic hippy destination Freak Street to browse the many art, trinket and book shops.Elevation: From 5164 metres to 5545 metres | Highest point: 5545 metres (Kala Patthar )Private Charter Helicopter, Guide and Porters and; 5* hotel Included,Days 11: Final Departure: 1,350m/4,428ftIt’s your last day in Nepal! Grab some breakfast, and then take in some last-minute shopping in Kathmandu. We’ll make sure you arrive at Kathmandu International Airport with plenty time before your flight home. At this time, we’ll say our goodbyes and bid you farewell, armed with warm memories and gorgeous photos to show your loved ones."
https://www.nepaltour.info/tours/nepal-itinerary-3-weeks/,Nepal Itinerary 3 Weeks,"$2,600.00",,,,,"Day 01: Arrive in Kathmandu (1334m), transfer to hotel.Day 02: Early morning mountain flights then Kathmandu Sightseeing. Overnight at KathmanduDay 03: Drive Kathmandu to Nuwakot Durbar. Overnight at NuwakotDay 04: Drive Nuwakot to Gorkha Durbar – 7 Hours drive. Overnight at GorkhaDay 05: Drive Gorkha to Bandipur. 3 Hours drive. Overnight at BandipurDay 06: Full day explore at Bandipur. Overnight at BandipurDay 07: Drive Bandipur to Pokhara. Overnight at PokharaDay 08: Drive Pokhara to Nayapul and trek to Australian Camp. Overnight at Australian Camp local lodgeDay 09: Trek to Sarangkot. Overnight at SarangkotDay 10: Explore day in Pokhara. Overnight at PokharaDay 11: Drive Pokhara to Palpa. Overnight at PalpaDay 12: See some sightseeing at Rani Mahal and drive to lumbini. Overnight at LumbiniDay 13: Explore day in Lumbini. Overnight at LumbiniDay 14: Drive Lumbini to Chitwan. Overnight at ChitwanDay 15: Full day Chitwan Jungle Activities. Overnight at ChitwanDay 16: Drive Chitwan to Daman. Overnight at DamanDay 17: Drive Daman to Nagarkot. Overnight at NagarkotDay 18: Drive Nagarkot to Balthali. Overnight at BalthaliDay 19: Short hike to Namo Buddha and back to dhulikhel. Overnight at DhulikhelDay 20: Drive Dhulikhel to Pharping. Overnight at PharpingDay 21: Drive Pharping to Kathmandu and do a last minute shopping. Overnight at KathmanduDay 22: Final Departure to your home country"
https://www.nepaltour.info/tours/3-days-in-kathmandu-tour/,3 Days in Kathmandu,$260.00,02 Nights / 03 Days,2 reviews,5.00 based on 2 reviews,,"Day 1: Kathmandu Arrival (1300m)Our company representative will be on standby with our vehicle and; a sign-board plaque displaying our your name and; company’s name at the Airport to pick you up and transfer you to your Hotel. After you’ve freshen up, a senior executive from the office will give you a short briefing about your whole program. Get familiar with your surroundings, rest or take a short stroll down the road. Your first overnight at your hotel in the valley of the gods.Hotel – Included.,Day 2: Full Day Kathmandu Sightseeing (Full Day)Today’s Attractions: Pashupatinath Temple, Boudhanath Stupa, Swayambhunath Stupa, Patan Durbar Square, Kathmandu Durbar Square,After breakfast, we proceed for a Full Day Kathmandu sightseeing where you will visit Pashupatinath temple, Boudhanath Stupa, Swayambhunath Stupa (monkey temple), Patan Durbar Square and Kathmandu Durbar Square. Some of these ancient monuments are UNESCO declared World Heritage sites and; stand to display the rich history of this ancient valley that was once a kingdom to itself and; a centre where kings met on a certain day to go to war with one another on the next day. Kathmandu is a wonderful mix of different cultures and; ancient traditions that are still practiced till this day. Overnight stay at HotelTour time: 6 hours | Hotel and; Breakfast – Included.,Day 3: Transfer to Kathmandu AirportThis has been a short holiday in Kathmandu valley, but we are sure that you have enjoyed a wonderful vacation with lasting memories for a long time to come. After you’ve had breakfast, our office escorts and; our vehicle will be on standby at your hotel to transfer you to the Airport for your flight back home. We look forward to meeting you again in this amazing country of Nepal., Breakfast – Included.,"
https://www.nepaltour.info/tours/explore-photography-adventure/,Explore Photography Adventure,"$1,550.00",12 Days,,,,"Day 01: Arrival in Kathmandu and transfer to hotel.Day 02: Full day Kathmandu photography tours in different location ( Pashupatinath, Boudhanath, Khokana and; Bungmati)Day 03: Drive to Bhaktapur and take a good photograph and drive to NagarkotDay 04: Nagarkot sunrise tour and drive to ChitwanDay 05: Full day Chitwan photography tourDay 06: Drive Chitwan to Bandipur and take a beautiful photo shootsDay 07: Drive Bandipur to Pokhara and take a beautiful shoot to phewa lake.Day 08: Moring drive to Sarangkot and take a beautiful photo shoot.Day 09: Drive Pokhara to Kande and 4 hours trek to Australian campDay 10: Morning Mountain photo shoot and afternoon drive back to PokharaDay 11: Fly Pokhara to Kathmandu and rest time to shoppingDay 12: Final Departure"
https://www.nepaltour.info/tours/kathmandu-itinerary-4-days/,Kathmandu Itinerary 4 Days,$390.00,,1 review,5.00 based on 1 review,,Day 01: Arrival in Kathmandu and Bhaktapur Sightseeing and driver to Nagarkot.Day 02: 4:30 hours hike to Dhulikhel and Drive to Balthali. Overnight at BalthaliDay 03: Hike to Namo Buddha and drive back to Kathmandu. Overnight at KathmanduDay 04: Short sightseeing tour in Kathmandu and final departure.
https://www.nepaltour.info/tours/12-day-nepal-tour/,12 Day Nepal Tour,"$1,530.00",,,,,Day 01: Arrival at Kathmandu airport and transfer to hotelDay 02: Full-day Kathmandu sightseeing tour. Overnight at NagarkotDay 03: Drive Nagarkot to Bandipur. Overnight at BandipurDay 04: Bandipur Sightseeing and drive to Pokhara. Overnight at PokharaDay 05: Full day Pokhara city sightseeing. Overnight at PokharaDay 06: Drive Pokhara to Chitwan. Overnight at ChitwanDay 07: Full day Chitwan wildlife activities. Overnight at ChitwanDay 08: Drive Chitwan to Lumbini. Overnight at LumbiniDay 09: Lumbini City Sightseeing. Overnight at LumbiniDay 10: Fly Lumbini to Kathmandu and trasfer to Pharping. Overnight at PharpingDay 11: Free day in Kathmandu for shopping. Overnight at KathmanduDay 12: Final Departure.
https://www.nepaltour.info/tours/everest-base-camp-helicopter-tour/,Everest Base Camp Helicopter Tour,"$1,600.00", Availability ,3 reviews,5.00 based on 3 reviews,,"Day 01: The private Everest Base Camp Helicopter Ride takes you from the Nepal, Kathmandu Tribhuvan International Airport towards the east, flying parallel to the Himalayan range. After flying 40 minutes, you will land in Lukla Airport for Fueling then fly to Syangboche Everest View hotel . The point from where a spectacular view of the Mt. Everest can be seen. After having breakfast you will start our tour to Everest Himalaya Range. You will be able to closely view the Mt. Everest (the tallest peak of the world), Mt Pumori, Amadblama, Nuptse, Lotse, etc. After enjoying magnificent views of Himalaya, you will then turn back to Kathmandu. Our Tour Riding Helicopter to Everest Base camp will be 3-4 hours. After landing at Kathmandu airport, you will be transferred to your hotel.,Departure from Tribhuvan International Airport ( TIA ) fly into The Himalayas including Everest base camp/ closest view of Mt. Everest(8848m) landed at Kalapathar capture picture. It is better not to take long time there because of high altitude"
